address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Ceintuurbaan 7 2,1072 ER Amsterdam,7 september 2022,€ 1.375.000 kosten koper,188 m²,F,Bovenwoning (appartement),1896,7 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,2 ligbaden,3 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Nefit (gas gestookt combiketel uit 2010, eigendom)",Volle eigendom,,"In centrum, in woonwijk en vrij uitzicht","Dakterras aanwezig, balkon aanwezig en frans balkon aanwezig","Betaald parkeren, parkeergarage en parkeervergunningen",Zonneterras,,,
Wolbrantskerkweg 108 C + PP,1069 DA Amsterdam,8 september 2022,€ 595.000 kosten koper,134 m²,A,Bovenwoning (appartement),2005,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,Volledig geïsoleerd,Stadsverwarming,Centrale voorziening,,Gemeentelijke erfpacht,Afgekocht tot 16-06-2052,"Aan park, in woonwijk en vrij uitzicht",Frans balkon aanwezig,Openbaar parkeren en parkeergarage,,,,
Johannes Vermeerstraat 87 hs,1071 DP Amsterdam,7 september 2022,€ 2.500.000 kosten koper,230 m²,A,Benedenwoning (appartement),1923,6 kamers (5 slaapkamers),4 badkamers en 1 apart toilet,"2 ligbaden, douche en 3 toiletten",2 woonlagen,Dubbel glas en vloerisolatie,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2020, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 28-02-2037),€ 437 per jaar met optie tot afkopen,In woonwijk,,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Admiralengracht 71 3,1057 EP Amsterdam,9 september 2022,€ 650.000 kosten koper,83 m²,D,Maisonnette (appartement),1929,4 kamers (2 slaapkamers),1 badkamer,"Ligbad, douche en toilet",2 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Combiketel, eigendom",Gemeentelijke erfpacht,Afgekocht tot 15-10-2051,Aan water en vrij uitzicht,Balkon aanwezig,,,,,
Balistraat 58 H*,1094 JP Amsterdam,10 september 2022,€ 450.000 kosten koper,61 m²,D,Benedenwoning (appartement),1912,3 kamers (1 slaapkamer),,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,HR-107 ketel (2019),Volle eigendom,,Aan rustige weg en in centrum,,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Panamalaan 232,1019 AZ Amsterdam,7 september 2022,€ 575.000 kosten koper,100 m²,B,Bovenwoning (dubbel bovenhuis),2002,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,2 woonlagen,Dubbel glas,Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,,"Aan park, in woonwijk, open ligging en vrij uitzicht",Balkon aanwezig,Parkeergarage,Zonneterras,,,
Tweede Kostverlorenkade 137 -2,1053 SE Amsterdam,8 september 2022,€ 375.000 kosten koper,48 m²,E,Tussenverdieping (appartement),1914,2 kamers (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2021, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-06-2054),,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht",Frans balkon aanwezig,Betaald parkeren,,,,
Van der Hoopstraat 89 -2,1051 VD Amsterdam,7 september 2022,€ 315.000 kosten koper,35 m²,D,Tussenverdieping (appartement),1905,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt uit 2008, eigendom)",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,,,Betaald parkeren,,,,
Nassaukade 384 hs,1054 AD Amsterdam,8 september 2022,€ 1.150.000 kosten koper,146 m²,,Dubbel benedenhuis (appartement),1890,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,2 woonlagen,"Dakisolatie, dubbel glas, HR-glas, muurisolatie en vloerisolatie",Cv-ketel en gehele vloerverwarming,Cv-ketel,"ATAG (gas gestookt combiketel uit 2017, eigendom)",Volle eigendom,,"Aan vaarwater, aan water, in woonwijk en vrij uitzicht",,Betaald parkeren en parkeervergunningen,,,,
Vrolikstraat 393 a,1092 TD Amsterdam,7 september 2022,€ 495.000 kosten koper,59 m²,C,Portiekflat (appartement),1993,2 kamers (1 slaapkamer),,,1 woonlaag,"Dakisolatie, dubbel glas en muurisolatie",Cv-ketel,Cv-ketel,"HR (gas gestookt uit 2010, huur)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 15-11-2044,,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Tweede Jan Steenstraat 115 II,1074 CN Amsterdam,7 september 2022,€ 575.000 kosten koper,72 m²,D,Bovenwoning (appartement),1882,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,,Cv-ketel,Geiser,"Nefit HR (gas gestookt uit 2012, eigendom)",Volle eigendom,,Aan rustige weg,Frans balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Looiersgracht 106,1016 VT Amsterdam,10 september 2022,€ 575.000 kosten koper,68 m²,C,Bovenwoning (appartement),1974,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Geen isolatie,Cv-ketel,Cv-ketel,"Atag (gas gestookt combiketel uit 2015, eigendom)",Volle eigendom,,"Aan rustige weg, aan vaarwater, aan water, in centrum en in woonwijk",Dakterras aanwezig,Betaald parkeren en parkeervergunningen,,,,
Van Noordtstraat 9 U,1013 SM Amsterdam,5 september 2022,€ 275.000 kosten koper,30 m²,D,Portiekflat (appartement),1901,1 kamer (1 slaapkamer),1 badkamer,Douche en toilet,1 woonlaag,Dubbel glas en volledig geïsoleerd,Blokverwarming,Centrale voorziening,,Gemeentelijke erfpacht (einddatum erfpacht: 31-08-2061),Afgekocht tot 31-08-2061,"Aan rustige weg, aan vaarwater, in woonwijk en vrij uitzicht",Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Spanderswoudstraat 156,1024 LH Amsterdam,6 september 2022,€ 365.000 kosten koper,89 m²,C,Galerijflat (appartement),1968,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,Combiketel,Gemeentelijke erfpacht (einddatum erfpacht: 15-12-2052),Afgekocht tot 15-12-2052,In woonwijk,Balkon aanwezig,Openbaar parkeren,,,,
J.J. Cremerplein 8 HS,1054 TK Amsterdam,5 september 2022,€ 785.000 kosten koper,90 m²,D,Benedenwoning (appartement),1912,4 kamers (3 slaapkamers),1 apart toilet,,1 woonlaag,"Dubbel glas, vloerisolatie en volledig geïsoleerd",Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,"Gas gestookt combiketel, eigendom",,,"Aan park, aan rustige weg, beschutte ligging en in woonwijk",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
Slaakstraat 5 III+IV,1078 BC Amsterdam,5 september 2022,€ 799.000 kosten koper,116 m²,D,Bovenwoning (appartement),,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en douche,2 woonlagen,Dubbel glas,Blokverwarming,Centrale voorziening,,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 19-09-2059,In woonwijk,Balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Johannes Verhulststraat 189 2,1075 GZ Amsterdam,5 september 2022,€ 2.650.000 kosten koper,247 m²,E,Penthouse (dubbel bovenhuis),1913,7 kamers (4 slaapkamers),3 badkamers en 3 aparte toiletten,Ligbad en 2 toiletten,3 woonlagen,"Dakisolatie, dubbel glas, HR-glas, kierdichting, vloerisolatie en volledig geïsoleerd",Cv-ketel,Cv-ketel,"Remeha Calenta (gas gestookt combiketel uit 2018, eigendom)",Volle eigendom,,"Aan rustige weg, in woonwijk en vrij uitzicht",Dakterras aanwezig en balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Biesboschstraat 68 III-IV,1078 MZ Amsterdam,5 september 2022,€ 1.050.000 kosten koper,132 m²,D,Bovenwoning (appartement),1929,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,"Dakisolatie, dubbel glas en vloerisolatie",Cv-ketel,Cv-ketel,"Gas gestookt combiketel uit 2018, eigendom",Gemeentelijke erfpacht (einddatum erfpacht: 30-06-2052),€ 1.172 per jaar met optie tot afkopen,,Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
