address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Oranje-Vrijstaatplein 32,1093 NG Amsterdam,,,86 m²,A,Tussenverdieping (appartement),2014,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-06-2060),Afgekocht tot 15-06-2060,In centrum en in woonwijk,,Parkeergarage,,,,
Dickenslaan 240,1102 ZX Amsterdam,,,50 m²,C,Bovenwoning (appartement),1983,2 kamers (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas HR (2016, eigendom)",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-01-2035),Afgekocht tot 31-01-2035,,Frans balkon aanwezig,Openbaar parkeren,,,,
Jan den Haenstraat 36 B,1055 WG Amsterdam,,,55 m²,A,Bovenwoning (appartement),1935,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"Intergas HR (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 01-05-2067,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Beemsterstraat 500,1024 BT Amsterdam,,,66 m²,C,Bovenwoning,1966,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Combiketel uit 2006, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 30-06-2053),Afgekocht tot 30-06-2053,In woonwijk en vrij uitzicht,Balkon aanwezig,Openbaar parkeren,,,,
Alfred Döblinstraat 145,1102 VK Amsterdam,,,55 m²,C,Benedenwoning (appartement),1984,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,5 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha Tzerra ( combiketel uit 2017, eigendom)",Gemeentelijk eigendom belast met erfpacht,Eeuwigdurend afgekocht,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",,Openbaar parkeren,Achtertuin,,,
Hildebrandstraat 68,1053 WB Amsterdam,,,74 m²,A,Bovenwoning (appartement),1985,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt uit 2022, eigendom)",Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 30-11-2035,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Hofwijckstraat 8 II,1055 GE Amsterdam,,,150 m²,C,Maisonnette (dubbel bovenhuis),1940,5 kamers (4 slaapkamers),2 badkamers,2 douches en 2 toiletten,2 woonlagen,Dakisolatie en gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Remeha en Intergas (gas gestookt combiketel uit 2014, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 16-09-2039),Afgekocht tot 16-09-2039,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Schellingwouderdijk 273,1023 NH Amsterdam,,,208 m²,C,,1927,8 kamers (6 slaapkamers),3 badkamers en 2 aparte toiletten,"Ligbad, douche en toilet",3 woonlagen,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel en gedeeltelijke vloerverwarming,Cv-ketel,"Gas gestookt combiketel uit 2017, eigendom",Volle eigendom,,"Aan rustige weg, aan vaarwater, aan water, in woonwijk, open ligging en vrij uitzicht",Dakterras aanwezig,Openbaar parkeren,Achtertuin en voortuin,,,
Cannenburg 4,1081 GX Amsterdam,,,203 m²,C,,1966,6 kamers (5 slaapkamers),3 badkamers en 2 aparte toiletten,"Ligbad, douche en toilet",3 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas Prestige HR Combiketel (gas gestookt combiketel uit 2022, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 15-06-2040),"€ 320,82 per jaar",In woonwijk,Dakterras aanwezig,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Nico Jessekade 5,1087 MG Amsterdam,,,113 m²,A,,2008,4 kamers (3 slaapkamers),1 badkamer,Ligbad en toilet,3 woonlagen,"Dubbel glas, HR-glas en volledig geïsoleerd",Stadsverwarming,Stadsverwarming,,Gemeentelijk eigendom belast met erfpacht,Afgekocht tot 30-11-2056,"Aan rustige weg, aan vaarwater, aan water, in woonwijk en vrij uitzicht",Dakterras aanwezig,Op afgesloten terrein,,,,
Sijsjesstraat 26,1021 CW Amsterdam,,,42 m²,D,Benedenwoning (appartement),,3 kamers (1 slaapkamer),,,1 woonlaag,,,,,Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 01-07-2056),,,,,Achtertuin,,,
Spaarndammerstraat 6 A,1013 SV Amsterdam,,,41 m²,E,Benedenwoning (appartement),1912,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Remeha Tzerra (gas gestookt combiketel uit 2014, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 31-12-2045),Afgekocht tot 31-12-2045,"Aan park, aan rustige weg en beschutte ligging",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",Achtertuin,,,
Montfoorthof 38,1106 JM Amsterdam,,,72 m²,C,Benedenwoning,1977,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,4 woonlagen,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijke erfpacht,Eeuwigdurend afgekocht,Aan park en aan rustige weg,,Openbaar parkeren,Achtertuin en voortuin,,,
Kortrijk 19,1066 TA Amsterdam,,,108 m²,A,,1994,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"Ligbad, douche en toilet",2 woonlagen,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie",Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2018, eigendom)",Gemeentelijke erfpacht,Afgekocht tot 31-08-2043,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",,Openbaar parkeren,Achtertuin en voortuin,,,
Keizersgracht 660 A,1017 ET Amsterdam,,,54 m²,,,1927,3 kamers (1 slaapkamer),1 apart toilet,,1 woonlaag,,Cv-ketel,Cv-ketel,"Combiketel, eigendom",Volle eigendom,,Aan vaarwater en in centrum,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Keizersgracht 515 H,1017 DN Amsterdam,,,56 m²,,Bovenwoning (appartement),1909,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel, eigendom)",Volle eigendom,,In centrum,,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Ruysdaelkade 151 III,1072 AS Amsterdam,,,49 m²,C,Bovenwoning (appartement),1895,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,Ligbad en douche,1 woonlaag,"Dakisolatie, dubbel glas en vloerisolatie",Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2021, eigendom)",Volle eigendom,,"Aan water, in centrum, in woonwijk en vrij uitzicht",,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Riouwstraat 49 A,1094 XG Amsterdam,,,91 m²,C,Benedenwoning (appartement),1988,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2006, eigendom)",Gemeentelijke erfpacht,Eeuwigdurend afgekocht,"Aan rustige weg, in woonwijk en open ligging",,"Betaald parkeren, parkeergarage en parkeervergunningen",Achtertuin,,,
