address,postal_code,offered_since,asking-price,surface,energy_label,housing_type,build_year,number_rooms,number_bathrooms,bathroom_facilities,total_floors,isolation,heating,warm_water,cv_ketel,land_ownership,erfpacht,location,balcony_terrace,parking,garden,inhabitants_neighborhood,families_with_kids_perc,neighborhood_price_sqm
Ruysdaelstraat 28 III,1071 XD Amsterdam,,,145 m²,F,Bovenwoning (appartement),1912,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Douche en toilet,2 woonlagen,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2019, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 30-11-2084),Afgekocht tot 30-11-2084,"Aan rustige weg, in centrum en in woonwijk",Dakterras aanwezig en balkon aanwezig,"Betaald parkeren, openbaar parkeren en parkeervergunningen",,,,
Woestduinstraat 118 -II/III,1059 SX Amsterdam,,,105 m²,A,Bovenwoning (dubbel bovenhuis),1933,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Ligbad en toilet,2 woonlagen,"Dubbel glas, HR-glas en volledig geïsoleerd",Cv-ketel,Cv-ketel,"Remeha (gas gestookt combiketel uit 2018, eigendom)",Volle eigendom,,Aan rustige weg en in woonwijk,Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Daniël Stalpertstraat 74 2,1072 XK Amsterdam,,,32 m²,F,Tussenverdieping (appartement),1873,2 kamers (1 slaapkamer),1 badkamer,Toilet,1 woonlaag,Dakisolatie en muurisolatie,Cv-ketel,Cv-ketel,"2018, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-07-2057),Afgekocht tot 31-07-2057,Aan rustige weg en in centrum,,Betaald parkeren en parkeervergunningen,,,,
Eerste Jacob van Campenstraat 33 3,1072 BC Amsterdam,,,57 m²,,Bovenwoning (appartement),1879,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Gas gestookt, eigendom",Volle eigendom,,Aan rustige weg,Balkon aanwezig,Betaald parkeren,,,,
Nieuwpoortstraat 94 A12,1055 RZ Amsterdam,,,49 m²,B,Bovenwoning (appartement),1991,2 kamers (1 slaapkamer),1 badkamer en 1 apart toilet,,1 woonlaag,Dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt uit 2017, eigendom)",Gemeentelijke erfpacht (einddatum erfpacht: 30-11-2060),,Aan rustige weg en in woonwijk,,,,,,
Orteliuskade 20 II,1057 AC Amsterdam,,,56 m²,E,Bovenwoning (appartement),1939,3 kamers (2 slaapkamers),1 badkamer,Toilet,1 woonlaag,Gedeeltelijk dubbel glas,Cv-ketel,Cv-ketel,"Intergas (gas gestookt combiketel uit 2017, eigendom)",Volle eigendom,,"Aan park, aan rustige weg en in woonwijk",Balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Tweede Jacob van Campenstraat 155 A,1073 XS Amsterdam,,,68 m²,C,Benedenwoning (appartement),1987,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,,1 woonlaag,,Cv-ketel,Cv-ketel,"Gas gestookt combiketel, eigendom",Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 31-03-2038),Afgekocht tot 31-03-2038,"Aan rustige weg, in centrum en in woonwijk",Balkon aanwezig,Betaald parkeren en parkeervergunningen,Achtertuin,,,
Joris van Andringastraat 15 2,1055 VV Amsterdam,,,59 m²,A+,Bovenwoning (dubbel bovenhuis),,3 kamers (2 slaapkamers),1 badkamer,Douche en toilet,2 woonlagen,Volledig geïsoleerd,Cv-ketel,Cv-ketel,HR-107 ketel (gas gestookt combiketel uit 2008),Gemeentelijk eigendom belast met erfpacht (einddatum erfpacht: 15-05-2058),Afgekocht tot 15-05-2058,Aan rustige weg en in woonwijk,Dakterras aanwezig en balkon aanwezig,Betaald parkeren en parkeervergunningen,,,,
Distelweg 60,1031 HG Amsterdam,,,50 m²,E,,1920,3 kamers (2 slaapkamers),1 badkamer,Toilet,2 woonlagen,Dubbel glas en HR-glas,Cv-ketel,Cv-ketel,"Intergas HR (gas gestookt combiketel uit 2019, eigendom)",Gemeentelijke erfpacht,Eeuwigdurend afgekocht,"Aan rustige weg, aan water en in woonwijk",,Betaald parkeren en parkeervergunningen,Achtertuin en voortuin,,,
Bajeskwartier | The Robin (Bouwnr. 60),1096 AG Amsterdam,,,94 m²,,Bovenwoning (appartement),2022,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,Toilet,1 woonlaag,HR-glas en volledig geïsoleerd,Gehele vloerverwarming,Centrale voorziening,,Volle eigendom,,Aan rustige weg en in woonwijk,Dakterras aanwezig,Parkeergarage,Zonneterras,,,
